SCHL_ID,CASEID,STU_WT,age,Q1,exercise,pcgame,tv,fastfood,bmi,a,b,c,d,e,f,g,h,green_have,male
11201,8393,1735.08,15,1,2,2,7,3,20.48,5,5,4,5,3,5,2,5,0,1
11201,8407,1634.92,16,1,3,1,3,5,22.62,5,5,4,5,3,5,4,5,0,1
11201,8628,1735.08,14,1,3,2,3,7,21.24,5,5,5,5,3,5,5,5,0,1
11201,8998,1735.08,14,1,4,1,3,2,22.91,5,5,5,4,5,4,2,5,0,1
11201,9144,1735.08,15,1,6,1,2,2,21.59,5,5,5,5,3,5,5,5,0,1
11201,9332,1735.08,14,1,3,1,3,5,25.55,5,4,2,1,4,2,3,3,0,1
11201,9669,1735.08,17,1,4,5,8,5,23.44,5,5,5,5,5,5,5,5,0,1
11201,10717,1634.92,15,1,4,2,1,4,24.16,4,3,2,1,5,5,2,1,0,1
11201,11345,1634.92,16,1,4,2,5,3,24.31,5,5,5,5,5,5,5,5,0,1
11201,11410,1634.92,16,1,1,1,3,6,20.87,1,-9,3,-9,-9,3,-9,-9,0,1
11201,11941,1634.92,15,1,2,3,3,4,21.68,5,3,5,5,3,5,5,5,0,1
11201,12270,1634.92,15,1,5,1,4,5,18.93,4,4,-9,5,1,5,3,5,0,1
11401,272,6414.51,10,2,6,1,2,2,13.82,4,4,5,4,5,5,5,5,1,0
11401,439,6414.51,10,2,6,2,2,3,-9,4,4,5,5,5,4,4,4,1,0
11401,579,6414.51,10,1,6,2,2,3,16.7,3,5,5,5,5,5,4,5,1,1
11401,649,6414.51,10,1,3,2,3,3,14.14,-9,4,5,5,4,4,4,5,1,1
11401,1207,6414.51,10,2,1,1,2,3,17.39,4,4,5,-9,4,4,5,5,1,0
11401,1319,6414.51,11,1,6,2,3,2,30.23,1,4,5,1,2,4,1,5,1,1
11401,1532,5936.93,11,2,3,4,7,4,-9,2,2,5,1,3,1,1,5,1,0
11401,1566,6414.51,11,1,-9,2,3,2,12.03,3,2,4,-9,5,4,2,-9,1,1
11401,2846,6414.51,10,1,5,2,3,1,24.38,5,5,4,5,4,4,4,5,1,1
11401,3098,6414.51,11,1,1,6,4,3,12.59,5,4,5,3,2,2,5,5,1,1
11401,3236,6414.51,10,1,6,1,3,4,17.45,5,5,5,4,3,-9,-9,4,1,1
11401,3727,6414.51,11,2,5,2,3,2,20.85,4,5,5,4,5,3,4,3,1,0
11401,3868,6414.51,10,1,4,2,2,3,17.73,4,4,5,5,3,5,5,-9,1,1
11401,4014,12805,10,1,2,2,6,5,15.98,5,5,4,5,5,3,5,4,1,1
11401,4077,6414.51,11,1,4,4,6,2,38.03,5,-9,4,3,-9,2,1,-9,1,1
11401,4306,6414.51,11,1,4,3,5,2,19.55,5,5,5,5,5,5,5,5,1,1
11401,4400,6414.51,10,1,4,3,5,6,16.73,2,5,5,5,5,5,4,5,1,1
11401,4459,6414.51,10,1,6,2,3,3,17.9,5,4,5,5,3,4,-9,3,1,1
11401,4704,6414.51,10,1,4,2,1,3,15.2,5,5,5,5,5,5,5,5,1,1
11401,4758,6414.51,10,2,6,3,3,2,22.37,3,5,5,5,4,4,5,5,1,0
11401,4940,6414.51,10,2,2,2,3,2,-9,5,4,5,-9,5,4,5,5,1,0
11401,5675,6414.51,10,1,3,5,2,4,19.01,5,4,5,5,4,5,5,5,1,1
11401,6017,6414.51,10,1,2,2,2,3,15.59,5,5,5,5,5,5,5,5,1,1
11401,6311,6414.51,10,1,4,2,3,4,18.14,3,3,4,1,2,5,1,5,1,1
11401,6569,6414.51,10,1,3,2,3,5,15.72,5,4,3,3,4,2,5,5,1,1
11401,6671,6414.51,10,1,2,2,2,2,25.44,4,4,5,4,5,5,4,5,1,1
11401,7220,6414.51,10,1,1,2,4,-9,14.76,5,3,5,5,5,5,4,5,1,1
11401,7308,6414.51,10,1,2,2,2,1,19.25,5,5,5,5,5,5,5,5,1,1
11401,8024,6414.51,11,2,4,2,6,6,12.23,2,-9,-9,3,4,1,1,2,1,0
11401,8108,6414.51,11,1,3,3,2,3,17.52,5,5,5,4,5,5,5,5,1,1
11401,8249,6414.51,10,1,4,4,3,2,13.12,5,5,5,3,3,-9,2,5,1,1
